DEPTH,GR_F,RTds,RHOBC,NPHIC,DT4P,Perm_Core_ds,Pore_Core_ds,PorZ_Core_ds,RHOB_Core_ds,Rqi_Core_ds,Rqi_spec_Core,Soil_Core_ds,Swir_spec_Core,Sw_Core_ds,PHIE_D,PHIE_FINAL,PHIE_N,PHIE_ND,PHIE_S,PHIE_sand,Swi_Porz10,Swi_Porz9,Swi_Rqi10,Swi_Rqi9,Sw_Ind,Sxo_Ind,TypeRock,VCL_disp,VCL_FINAL,VCL_lam
1798.4724,93.3511,1.5361,2.2851,0.4306,125.2928,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1504,0.2192,0.2283,0.2192,0.2767,0.2811,0.2853,0.4745,0.2474,0.4278,0.5434,0.5659,3,0,0.5174,0.5174
1798.6248,93.189,1.5433,2.2417,0.459,128.7101,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.177,0.2461,0.2549,0.2461,0.2998,0.3379,0.2719,0.4283,0.2199,0.3985,0.5028,0.5279,3,0,0.5215,0.5215
1798.7772,92.8435,1.4505,2.2416,0.4845,124.5706,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.173,0.2547,0.264,0.2547,0.2496,0.3767,0.2679,0.4151,0.2153,0.3934,0.4966,0.5325,4,0,0.5617,0.5617
1798.9296,93.3357,1.3621,2.3114,0.4889,122.193,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1217,0.2261,0.2354,0.2261,0.1925,0.35,0.2817,0.4618,0.2382,0.4181,0.5286,0.5711,4,0,0.642,0.642
1799.082,97.349,1.3013,2.3331,0.4565,117.9392,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1077,0.1921,0.2011,0.1921,0.1588,0.2558,0.3009,0.5311,0.3017,0.4841,0.592,0.6355,4,0,0.6468,0.6468
1799.2344,99.9136,1.2407,2.3721,0.4154,114.46,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0839,0.1532,0.1618,0.1532,0.1354,0.1316,0.3283,0.6395,0.4518,0.6376,0.6854,0.7303,4,0.0347,0.6424,0.6078
1799.3868,101.6874,1.126,2.3861,0.3853,113.2059,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0769,0.1313,0.1388,0.1313,0.1347,0.0704,0.3478,0.7226,0.5954,0.7835,0.7866,0.8374,4,0.0659,0.6252,0.5593
1799.5392,102.0288,1.0151,2.3636,0.3677,111.8777,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.0957,0.135,0.1408,0.135,0.1485,0.081,0.3443,0.7073,0.5676,0.7552,0.8489,0.914,4,0.0682,0.5774,0.5092
1799.6916,101.144,0.9814,2.3488,0.3782,114.4386,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1056,0.148,0.1542,0.148,0.1708,0.1125,0.3327,0.6576,0.4813,0.6676,0.829,0.9021,4,0.0517,0.5703,0.5186
1799.844,98.4848,0.9614,2.31,0.4194,119.6387,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0.1294,0.1866,0.1943,0.1866,0.2077,0.2198,0.3043,0.5442,0.317,0.4998,0.7377,0.8023,4,0.0001,0.5729,0.5729
