GR,NPHI,RHOB,DT,VCL,PHIE
109.7901993,0.436500013,2.197000027,104.1344986,0.627799988,0.131200001
109.3308029,0.435000002,2.237999916,105.3359985,0.708000004,0.057700001
114.2577972,0.432999998,2.252000094,98.66400147,0.730499983,0.042300001
118.7706986,0.42899999,2.200999975,108.7570038,0.611400008,0.144999996
121.9684982,0.414999992,2.237999916,114.3830032,0.642199993,0.117600001
121.6633987,0.404500008,2.28550005,114.0295029,0.706200004,0.059
121.3582001,0.393999994,2.332999945,113.6760025,0.770299971,0.022500001
122.1585999,0.386000007,2.410000086,115.7490006,0.903800011,0.0012
122.376297,0.419999987,2.311000109,117.8010025,0.810199976,0.0108
122.1183014,0.425999999,2.288000107,120.935997,0.782199979,0.018300001
128.7026978,0.409000009,2.352999926,113.074997,0.861199975,0.0036
131.8475952,0.386999995,2.385999918,111.7955017,0.857299984,0.0039
134.9925995,0.36500001,2.41899991,110.5159988,0.853399992,0.0043
137.5951996,0.358999997,2.377000094,113.3499985,0.746399999,0.0332
133.2886047,0.356999993,2.295000076,124.4789963,0.569599986,0.151899993
121.9936981,0.379000008,2.25699997,113.0390015,0.56309998,0.165999994
120.1500015,0.377499998,2.260499954,114.2024994,0.565500021,0.165099993
118.3063965,0.375999987,2.263999939,115.3659973,0.567799985,0.164199993
117.7639008,0.384000003,2.321000099,116.5189972,0.712499976,0.054400001
121.3582001,0.370000005,2.342000008,114.6520004,0.709999979,0.056200001
119.7322006,0.39199999,2.325000048,117.3180008,0.747099996,0.032900002
121.0335007,0.405999988,2.236999989,104.6389999,0.610499978,0.145699993
120.3281021,0.418500006,2.184000015,108.9369965,0.541599989,0.174199998
119.6227036,0.430999994,2.131000042,113.2350006,0.4727,0.200399995
118.2132034,0.442999989,2.092999935,111.5699997,0.433299989,0.215299994
108.1277008,0.414999992,2.13199997,115.0859985,0.422100008,0.219600007
107.5852966,0.416000009,2.140000105,116.7689972,0.442000002,0.211999998
107.6936035,0.423000008,2.121999979,117.2034988,0.427700013,0.217500001
107.8018036,0.430000007,2.104000092,117.6380005,0.413399994,0.222900003
109.4290009,0.44600001,2.076999903,110.362999,0.409999996,0.224199995
110.0795975,0.444999993,2.115999937,118.6090012,0.487599999,0.194700003
115.5024033,0.419,2.160000086,118.6200028,0.493400008,0.192499995
118.9720993,0.423999995,2.177999973,119.3830032,0.547200024,0.172000006
117.6707993,0.418500006,2.204999924,118.651001,0.585200012,0.157600001
116.3695984,0.412999988,2.232000113,117.9189987,0.623099983,0.135499999
114.9599991,0.377999991,2.322999954,124.5100021,0.69690001,0.066500001
109.9664002,0.370999992,2.305999994,129.8939972,0.638499975,0.121100001
109.0262985,0.356999993,2.164999962,115.9919968,0.299699992,0.265100002
