wellName,DEPTH,Gamma,Porosity,Fluvialfacies
B4,1821.1063,97.173805,0.202154,1
B4,1821.6063,89.919556,0.209511,1
B4,1822.1063,83.941048,0.212672,1
B4,1822.6063,81.308594,0.214142,1
B4,1823.1063,83.328003,0.209119,1
B4,1823.6063,90.525955,0.201477,1
B4,1824.1063,96.061966,0.199379,1
B4,1824.6063,97.177155,0.199516,1
B4,1825.1063,99.889313,0.194607,1
B4,1825.6063,106.62548,0.187664,1
B4,1826.1063,108.97443,0.190474,1
B4,1826.6063,103.54377,0.197219,1
B4,1827.1063,93.429115,0.20827,1
B4,1827.6063,79.878967,0.221059,1
B4,1828.1063,74.757515,0.217281,1
B4,1828.6063,82.849777,0.206821,1
B4,1829.1063,90.731247,0.203414,1
B4,1829.6063,92.987595,0.202852,3
B4,1830.1063,89.224213,0.210036,3
B4,1830.6063,79.281975,0.220344,3
B4,1831.1063,72.432098,0.222087,3
B4,1831.6063,72.413818,0.220376,3
B4,1832.1063,70.627106,0.217993,3
B4,1832.6063,63.603436,0.215339,3
B4,1833.1063,62.329639,0.214396,3
B4,1833.6063,71.236877,0.214143,3
B4,1834.1063,81.501572,0.209412,3
B4,1834.6063,89.565002,0.202875,3
B4,1835.1063,92.869293,0.203598,3
B4,1835.6063,90.382805,0.20725,3
B4,1836.1063,84.187042,0.214499,3
B4,1836.6063,75.121529,0.2232,3
B4,1837.1063,72.683647,0.218789,2
B4,1837.6063,80.70385,0.209089,2
B4,1838.1063,87.130341,0.207481,2
B4,1838.6063,87.102463,0.209138,2
B4,1839.1063,85.627541,0.210076,2
B4,1839.6063,84.725121,0.210725,2
B4,1840.1063,84.285049,0.210851,2
B4,1840.6063,84.262871,0.210765,2
B4,1841.1063,83.382454,0.2124,2
B4,1841.6063,81.129105,0.214729,2
B4,1842.1063,80.560509,0.213401,2
B4,1842.6063,82.909866,0.210596,2
B4,1843.1063,85.01239,0.209701,2
B4,1843.6063,85.59169,0.209577,2
B4,1844.1063,87.777924,0.205855,2
B4,1844.6063,92.833534,0.200682,2
B4,1845.1063,92.056313,0.207222,2
B4,1845.6063,81.936523,0.218487,2
B4,1846.1063,75.28936,0.218917,2
B4,1846.6063,77.283401,0.214978,2
B4,1847.1063,83.261208,0.2084,2
B4,1847.6063,91.344368,0.200757,2
B4,1848.1063,91.664543,0.207837,2
B4,1848.6063,80.241692,0.220855,2
B4,1849.1063,72.616898,0.221252,2
B4,1849.6063,75.058159,0.21656,2
B4,1850.1063,79.969254,0.212611,2
B4,1850.6063,84.286507,0.208963,2
B4,1851.1063,85.110489,0.211162,2
B4,1851.6063,81.271797,0.215718,2
B4,1852.1063,75.025391,0.220579,2
B4,1852.6063,67.280724,0.225563,2
B4,1853.1063,66.397545,0.220864,1
B4,1853.6063,75.747452,0.212258,1
B4,1854.1063,84.460747,0.208375,1
B4,1854.6063,88.153519,0.206396,1
B4,1855.1063,88.455551,0.207844,1
B4,1855.6063,86.024162,0.210674,1
B4,1856.1063,83.546494,0.212203,1
B4,1856.6063,82.106293,0.213207,1
B4,1857.1063,80.515968,0.215001,1
B4,1857.6063,78.296539,0.217112,1
B4,1858.1063,77.088097,0.217127,1
B4,1858.6063,77.552132,0.216296,1
B4,1859.1063,77.656265,0.216944,1
B4,1859.6063,76.580795,0.218188,1
B4,1860.1063,76.271095,0.217489,1
B4,1860.6063,77.511742,0.216005,1
B4,1861.1063,76.562859,0.219158,1
B4,1861.6063,71.916084,0.224181,1
B4,1862.1063,72.256401,0.21856,1
B4,1862.6063,81.086578,0.208645,1
B4,1863.1063,85.002029,0.21167,1
B4,1863.6063,78.596481,0.219915,1
B4,1864.1063,72.90052,0.221692,1
B4,1864.6063,72.362946,0.220861,1
B4,1865.1063,73.325462,0.219999,1
B4,1865.6063,74.312645,0.219124,1
B4,1866.1063,78.094818,0.213344,1
B4,1866.6063,85.789314,0.205586,1
B4,1867.1063,92.400017,0.201713,1
B4,1867.6063,95.911903,0.199407,1
B4,1868.1063,93.056999,0.206736,1
B4,1868.6063,82.517273,0.217951,1
B4,1869.1063,74.813148,0.220291,1
B4,1869.6063,74.187675,0.219051,1
B4,1870.1063,77.844116,0.213858,1
B4,1870.6063,84.654488,0.207069,1
B4,1871.1063,88.682938,0.20677,1
B4,1871.6063,87.535477,0.209088,1
B4,1872.1063,86.841316,0.207991,1
B4,1872.6063,88.870811,0.205517,1
B4,1873.1063,87.690399,0.210068,1
B4,1873.6063,80.906982,0.217452,1
B4,1874.1063,77.797745,0.215538,1
B4,1874.6063,82.104324,0.209875,1
B4,1875.1063,85.408752,0.209725,1
B4,1875.6063,84.315948,0.211798,1
B4,1876.1063,83.602097,0.210981,1
B4,1876.6063,85.193497,0.208998,1
B4,1877.1063,87.4263,0.207052,1
B4,1877.6063,89.629448,0.205122,1
B4,1878.1063,89.576195,0.207146,1
B4,1878.6063,86.368446,0.210766,1
B4,1879.1063,85.298103,0.209029,1
B4,1879.6063,88.499451,0.205133,1
B4,1880.1063,93.342354,0.200508,1
B4,1880.6063,98.766045,0.19559,1
B4,1881.1063,98.10659,0.201669,1
B4,1881.6063,88.676338,0.212182,1
B4,1882.1063,81.839806,0.213697,1
B4,1882.6063,82.180504,0.211583,1
B4,1883.1063,82.133148,0.213781,1
B4,1883.6063,78.646561,0.217718,1
B4,1884.1063,78.457245,0.214114,1
B4,1884.6063,84.28215,0.207469,0
B4,1885.1063,88.069839,0.20745,0
B4,1885.6063,86.573029,0.210103,0
B4,1886.1063,81.579834,0.216235,0
B4,1886.6063,73.81144,0.22377,0
B4,1887.1063,71.230682,0.220775,0
B4,1887.6063,77.049103,0.213533,0
B4,1888.1063,83.177589,0.209993,0
B4,1888.6063,86.353691,0.207945,0
B4,1889.1063,87.828163,0.207398,0
B4,1889.6063,88.105461,0.207457,0
B4,1890.1063,84.534058,0.213682,0
B4,1890.6063,76.04454,0.222393,0
B4,1891.1063,72.231361,0.220391,0
B4,1891.6063,76.964088,0.214067,0
B4,1892.1063,83.793739,0.208375,1
B4,1892.6063,90.119301,0.202938,1
B4,1893.1063,94.303886,0.201012,1
B4,1893.6063,95.687309,0.200503,1
B4,1894.1063,94.534096,0.203041,1
B4,1894.6063,90.950935,0.206808,1
B4,1895.1063,88.966705,0.206532,1
B4,1895.6063,90.206306,0.204627,1
B4,1896.1063,94.884972,0.198301,1
B4,1896.6063,103.08952,0.190192,1
B4,1897.1063,105.30908,0.194396,1
B4,1897.6063,97.707771,0.203566,1
B4,1898.1063,87.212708,0.212861,1
B4,1898.6063,76.617683,0.222206,1
B4,1899.1063,74.876801,0.215923,1
B4,1899.6063,85.601418,0.203337,1
B4,1900.1063,93.35228,0.202286,1
B4,1900.6063,91.902519,0.205888,1
B4,1901.1063,87.10434,0.210728,1
B4,1901.6063,81.318001,0.216068,1
B4,1902.1063,77.028725,0.218275,1
B4,1902.6063,75.238838,0.219218,1
B4,1903.1063,78.522697,0.212498,1
B4,1903.6063,87.918571,0.202687,1
B4,1904.1063,95.452499,0.199242,1
B4,1904.6063,97.908424,0.198365,1
B4,1905.1063,93.933792,0.206235,1
