Gamma,Porosity,Fluvialfacies
65.743683,0.093004,2
67.454842,0.092144,2
67.5942,0.09237,2
66.967804,0.091989,2
68.416534,0.090174,2
70.876244,0.088428,3
72.174545,0.087485,3
72.907028,0.086954,3
73.316559,0.086647,3
73.568756,0.088139,3
70.102341,0.092201,3
64.824257,0.096555,1
60.730362,0.10009,1
57.213394,0.102555,1
55.422298,0.103828,1
54.472023,0.104038,1
54.970852,0.103247,1
56.175671,0.101563,1
58.595573,0.09904,1
61.607445,0.096703,1
63.625084,0.095054,1
65.158348,0.093824,1
66.273605,0.092882,1
67.185219,0.093741,1
64.426064,0.097135,2
59.878555,0.102138,2
53.654144,0.108299,2
46.612762,0.113701,2
42.024956,0.117408,2
38.632504,0.118688,2
39.270218,0.117183,2
41.871372,0.113663,2
46.850048,0.1085,2
52.987019,0.103858,1
56.842209,0.100793,1
59.585743,0.098947,1
60.816364,0.098146,1
61.30991,0.097883,1
61.382435,0.097911,1
61.249844,0.097793,1
61.635777,0.097317,1
62.274334,0.097016,1
62.285603,0.097147,1
61.991257,0.097525,1
61.473251,0.098057,1
60.846279,0.099197,1
59.019859,0.101165,1
56.609077,0.102541,1
56.056549,0.102633,1
56.409336,0.102427,1
56.50169,0.102401,1
56.467167,0.100791,1
59.966576,0.09674,1
65.187675,0.093097,3
67.808975,0.09125,3
69.163681,0.090074,3
70.34198,0.08902,3
71.434334,0.089363,3
69.603951,0.091725,2
66.349632,0.09475,2
63.089844,0.097779,2
59.827389,0.101293,2
55.524754,0.105525,1
50.715347,0.109558,1
46.843601,0.112943,1
43.428673,0.114757,2
42.937397,0.114552,2
43.870487,0.112653,2
47.02544,0.109219,2
51.262856,0.10549,2
55.05418,0.102069,2
58.628174,0.100238,1
58.99585,0.100622,1
57.801441,0.101893,1
56.26128,0.103401,1
54.55267,0.104927,2
52.977531,0.10636,2
51.467419,0.106517,2
52.638138,0.104823,2
55.114922,0.102402,2
57.85067,0.099801,2
60.712578,0.097324,2
63.185287,0.095114,2
65.468391,0.094521,1
64.463623,0.096199,1
61.857048,0.099239,1
57.918133,0.103199,1
53.330116,0.107229,1
49.243362,0.110913,1
45.400818,0.112474,1
45.881832,0.111048,1
48.469231,0.108229,1
51.952347,0.10479,1
55.871841,0.101163,1
59.760212,0.097558,1
63.633415,0.093728,1
68.00589,0.089553,1
72.621605,0.084772,1
78.297089,0.07926,1
84.488869,0.073187,0
91.374283,0.066633,0
98.597618,0.061921,0
101.5195,0.06018,0
102.34576,0.059901,0
102.12142,0.060347,0
101.38522,0.060576,0
101.62869,0.060128,0
102.34944,0.058346,0
105.46313,0.054913,0
109.74264,0.068653,0
113.30536,0.077439,0
116.51886,0.047459,0
117.58637,0.029797,0
117.6084,0.035997,0
116.55516,0.031402,0
114.97809,0.039392,0
113.64604,0.054478,0
112.43337,0.035552,0
112.67247,0.026627,0
113.61886,0.043765,0
115.40514,0.040947,0
117.60062,0.026273,0
119.76139,0.026073,0
121.90526,0.040439,0
122.2862,0.054508,0
121.80826,0.058871,0
120.86793,0.05094,0
119.70235,0.035128,0
118.88375,0.012857,0
118.23419,0.001483,0
118.91316,0.016831,0
120.23937,0.033477,0
122.07878,0.03173,0
124.16822,0.039149,0
126.04305,0.048891,0
127.81332,0.037474,0
128.18922,0.033455,0
127.88577,0.040897,0
124.72055,0.039433,0
120.1611,0.053165,0
115.40435,0.067927,0
110.55146,0.060311,0
107.10106,0.056664,0
104.33392,0.057735,0
104.79344,0.056578,0
106.82495,0.054519,0
109.22853,0.052202,0
111.81338,0.050622,0
112.63163,0.050261,0
112.58923,0.050732,0
111.61703,0.051845,0
110.19183,0.053062,0
108.99687,0.05412,0
107.91406,0.053696,0
109.91148,0.05118,0
113.40956,0.025816,0
117.23651,0.008752,0
121.22369,0.028917,0
125.16576,0.025191,0
129.08588,0.027418,0
129.74008,0.047791,0
128.80318,0.028928,0
126.98985,0.014575,0
124.74955,0.033047,0
122.12768,0.045659,0
119.31991,0.0408,0
117.75606,0.038796,0
116.79823,0.036273,0
116.02767,0.029379,0
115.34835,0.035335,0
113.49949,0.047436,0
111.08085,0.052372,0
109.59632,0.053539,0
108.56686,0.054047,0
108.50305,0.053888,0
108.90969,0.052943,0
110.53846,0.060969,0
112.76264,0.064601,0
113.01668,0.054994,0
112.3109,0.051398,0
110.46269,0.053373,0
108.05791,0.055168,0
106.59788,0.05631,0
105.59812,0.056253,0
106.72258,0.054727,0
108.88193,0.052799,0
112.07408,0.051537,0
115.7694,0.054436,0
118.14394,0.049,0
119.87501,0.042884,0
119.83701,0.043686,0
118.93714,0.046866,0
117.61361,0.054837,0
116.08368,0.068742,0
114.55681,0.071554,0
113.03143,0.054776,0
112.88222,0.040966,0
113.40347,0.039989,0
113.09565,0.047286,0
112.38391,0.050035,0
112.77265,0.057127,0
113.69752,0.06167,0
111.75055,0.056427,0
108.40444,0.056545,0
103.28863,0.061698,0
97.310661,0.068908,1
87.764351,0.078584,1
76.479599,0.088324,1
66.793877,0.09696,1
57.88718,0.104208,1
51.189072,0.109931,1
45.566952,0.113847,1
42.756931,0.115822,1
41.316925,0.116817,1
40.613495,0.117304,1
40.268913,0.11751,1
40.170502,0.117546,1
40.192024,0.117841,1
39.534794,0.118605,1
38.546883,0.119182,1
38.291168,0.119254,1
38.39217,0.119094,1
38.637127,0.118833,1
38.952217,0.118086,1
40.247402,0.116661,1
42.020088,0.114997,1
43.829014,0.113308,1
45.655586,0.11042,1
50.047527,0.10576,1
55.689285,0.100086,1
62.261269,0.093771,3
69.286446,0.088721,3
73.131966,0.085869,3
75.428391,0.086104,2
72.626823,0.08986,2
67.341576,0.095496,2
60.494041,0.10221,2
52.885387,0.107563,2
48.969746,0.110364,2
46.853294,0.111352,2
46.844231,0.110883,2
47.861855,0.109464,1
49.898869,0.107341,1
52.432507,0.105523,1
53.812374,0.104503,1
54.630142,0.103154,1
56.716637,0.100929,1
59.421242,0.099294,3
60.235321,0.098965,3
60.128361,0.098918,2
60.337173,0.098653,2
60.699829,0.099401,2
58.726868,0.101762,2
55.61602,0.103405,2
55.190128,0.103193,2
56.072311,0.102664,2
56.330101,0.102566,2
56.283684,0.101404,2
58.83128,0.09845,2
62.642643,0.095963,2
64.183121,0.095046,2
64.617256,0.09412,1
66.17614,0.092418,1
68.28299,0.090645,1
69.992485,0.089147,1
71.508392,0.086986,1
74.644981,0.083706,0
78.571136,0.080844,0
80.805046,0.079152,0
82.214516,0.078481,0
82.251511,0.078757,0
81.619843,0.079879,0
79.834419,0.081799,0
77.486885,0.083744,0
75.647438,0.085337,0
74.055511,0.086882,0
72.32383,0.088522,0
70.524048,0.090228,1
68.649483,0.091987,1
66.738487,0.094115,1
64.066551,0.09677,1
61.023903,0.099252,1
58.722622,0.101222,1
56.782528,0.102858,1
55.201496,0.104245,1
53.795391,0.104656,1
54.316273,0.103736,1
55.775955,0.102154,1
57.722885,0.100236,1
59.9072,0.097992,1
62.552235,0.09543,1
65.421715,0.092762,1
68.296631,0.09009,1
71.174187,0.087042,1
74.859192,0.083437,1
78.937576,0.079547,1
83.23246,0.075508,0
87.632813,0.071842,0
91.124458,0.068804,0
94.173393,0.067486,0
93.963615,0.068418,0
92.166245,0.070911,0
88.596748,0.074628,0
84.163887,0.079771,0
77.525337,0.086437,0
69.812218,0.092533,1
64.400085,0.09704,1
60.108967,0.099946,1
58.144409,0.101244,1
57.313324,0.10017,1
60.45784,0.096349,1
65.539215,0.092113,1
69.577477,0.088597,3
73.107544,0.086658,3
73.753418,0.086711,2
72.994148,0.088468,2
69.969131,0.091791,2
65.840279,0.095739,2
61.468102,0.099856,2
56.97739,0.102993,2
54.716492,0.104589,2
53.541924,0.106135,2
51.385731,0.10836,2
48.751297,0.110355,2
47.092182,0.111676,2
45.908234,0.112986,2
44.271118,0.114609,2
42.413223,0.115265,2
42.859028,0.11433,1
44.427166,0.112474,1
46.8545,0.110024,1
49.700428,0.107678,1
51.906471,0.105774,1
53.80077,0.103943,1
55.849064,0.102005,3
57.972389,0.10051,3
59.066765,0.099726,3
59.659851,0.099041,3
60.54044,0.098158,2
61.561096,0.098253,2
60.336334,0.099898,2
58.017635,0.102171,2
55.444809,0.104619,2
52.748177,0.10655,2
51.28651,0.107629,2
50.42651,0.107441,2
51.690063,0.105787,2
53.98819,0.103256,2
57.138428,0.100137,2
60.703804,0.09693,2
64.04052,0.093882,2
67.265831,0.091522,2
69.124199,0.090105,2
70.316605,0.088597,2
72.371407,0.086492,0
74.846352,0.084767,0
76.084084,0.083897,0
76.719048,0.082918,0
78.192696,0.08136,0
80.074936,0.081655,0
77.556633,0.084989,0
72.89444,0.089097,0
68.714828,0.092871,0
64.770332,0.097098,2
59.613049,0.102164,2
53.86491,0.10551,2
52.409386,0.105891,2
53.04517,0.105267,2
53.751965,0.104594,2
54.493359,0.103098,2
56.973492,0.100401,2
60.300716,0.09725,2
63.756908,0.094009,2
67.275932,0.090179,2
72.003586,0.085513,0
77.320084,0.081493,0
80.659225,0.078839,0
83.035027,0.076904,0
84.823021,0.075376,0
86.324638,0.074757,0
86.157646,0.07529,0
85.177719,0.075636,0
85.413605,0.075141,0
86.241821,0.075003,0
85.710365,0.075804,0
84.516487,0.076841,0
83.476974,0.077772,0
82.512672,0.078476,0
81.962059,0.078895,0
81.612999,0.07938,0
80.916756,0.080105,0
80.051369,0.080985,0
79.022507,0.081978,0
77.914009,0.08354,0
75.659302,0.085894,0
72.846176,0.088684,0
69.654625,0.091734,0
66.278709,0.09478,1
63.095306,0.097694,1
60.005692,0.099777,1
58.610203,0.10069,1
58.04007,0.10028,1
59.491447,0.098474,1
61.927677,0.096184,1
64.422379,0.093854,1
66.945564,0.091957,1
68.50592,0.090726,1
69.597214,0.090338,1
69.340324,0.090882,1
68.426605,0.09199,1
66.954094,0.093485,1
65.209351,0.095804,2
61.96183,0.09916,2
57.982178,0.103172,2
53.326694,0.107649,2
48.341953,0.112073,2
43.802719,0.116189,2
39.480526,0.118981,2
37.791279,0.119954,2
37.384762,0.118429,2
41.074463,0.114075,2
46.759785,0.108299,2
53.510715,0.101786,2
60.7808,0.095639,2
66.743919,0.090395,2
72.07029,0.086202,2
75.771263,0.083132,2
78.680367,0.079755,2
83.041649,0.075375,2
88.11042,0.070103,0
94.392662,0.063993,0
101.26609,0.058606,0
105.98814,0.054706,0
109.66206,0.052823,0
110.04206,0.053216,0
108.81732,0.055338,0
105.47291,0.058925,0
101.09582,0.062049,0
98.748505,0.06377,0
97.39006,0.064583,0
96.996223,0.06473,0
97.072319,0.065216,0
95.951195,0.066528,0
94.246788,0.070013,0
88.447792,0.076327,0
80.653961,0.083013,0
74.054253,0.088874,0
68.036308,0.092686,0
65.847847,0.093852,0
65.525063,0.092123,0
69.570518,0.087377,0
75.744125,0.083078,0
78.825218,0.080915,0
80.399658,0.080844,0
78.975739,0.082846,0
76.091049,0.08661,0
70.873726,0.091984,1
64.519966,0.09689,1
60.311508,0.100314,1
57.148205,0.102955,1
54.626789,0.105152,1
52.418091,0.106728,1
51.235146,0.107594,1
50.551933,0.107687,0
51.035458,0.106974,0
52.087399,0.104963,0
55.365017,0.101414,1
59.726959,0.097158,1
64.528793,0.092597,1
69.544937,0.089418,1
71.375031,0.088438,1
71.652924,0.089359,1
69.392593,0.092033,1
65.895676,0.095872,1
61.127819,0.100589,1
55.740772,0.104291,1
53.157387,0.106056,1
51.939911,0.105952,1
53.381763,0.104011,1
56.119209,0.100639,1
60.64056,0.096035,1
66.031013,0.09212,1
69.070862,0.089828,0
70.96553,0.089823,0
69.080383,0.09243,0
65.35376,0.09621,0
60.943108,0.100462,0
56.199207,0.103297,0
54.838348,0.103796,0
55.125664,0.102246,0
58.175354,0.098788,0
62.570847,0.095305,0
65.673874,0.092715,0
68.147232,0.091326,0
68.663689,0.091289,0
68.226776,0.091819,0
67.523727,0.092532,0
66.691025,0.092872,0
66.790199,0.092569,0
67.343376,0.092418,0
67.116508,0.092805,0
66.509621,0.093629,0
65.342651,0.09484,0
63.902824,0.096135,0
62.554989,0.097367,0
