Gamma,Porosity,Fluvialfacies
116.834,0.184113,0
115.598,0.195006,0
81.1875,0.216726,3
43.404,0.234446,3
41.595,0.246658,3
43.4438,0.248185,3
41.6559,0.238498,3
39.4982,0.241046,2
39.5983,0.258211,2
39.928,0.269404,2
34.1012,0.272533,2
27.6485,0.264079,2
30.1476,0.243685,2
33.5568,0.241223,2
32.5208,0.25973,2
31.0329,0.261888,2
34.9386,0.243904,2
39.3927,0.237554,2
35.6983,0.246068,2
31.1753,0.249363,2
36.734,0.245401,2
43.3177,0.239361,2
41.4435,0.190925,2
38.7094,0.15404,2
36.188,0.175461,2
33.6881,0.183176,3
37.1571,0.169443,3
41.233,0.156372,3
41.5527,0.146211,2
41.4905,0.140695,2
40.5932,0.140003,2
39.611,0.140723,2
41.7199,0.142508,2
44.143,0.145029,3
42.6994,0.148252,2
40.8626,0.15807,2
39.1744,0.175085,2
37.5013,0.176428,2
38.7331,0.159775,2
40.2601,0.15482,2
37.8288,0.164581,2
34.9949,0.164726,2
38.1659,0.152779,2
41.9474,0.150256,2
36.318,0.159344,2
29.7318,0.16029,2
32.1498,0.151085,2
35.4833,0.147745,2
38.078,0.151897,2
40.5977,0.147287,2
42.9352,0.132265,2
45.2543,0.123676,2
42.7223,0.123232,1
39.697,0.135845,1
38.6166,0.162013,1
37.7339,0.172815,1
35.8933,0.16531,1
33.9553,0.16583,1
37.1137,0.177056,2
40.7903,0.182697,2
41.2719,0.181099,2
41.4286,0.175984,2
41.8732,0.167732,2
42.347,0.159761,2
41.6552,0.152418,2
40.8449,0.14484,2
35.5388,0.136939,2
29.7757,0.131697,2
50.7478,0.129418,0
74.4382,0.136439,0
71.7676,0.153405,0
66.4167,0.154998,0
70.9124,0.138645,0
76.4094,0.13949,0
71.4736,0.161107,0
65.477,0.162383,0
68.6335,0.13914,0
72.7206,0.122767,0
82.5782,0.116457,0
93.0224,0.111061,0
83.6402,0.10565,0
72.2422,0.106659,0
78.0333,0.114745,0
85.5721,0.113442,0
75.7169,0.101078,0
64.0931,0.105672,0
66.4693,0.130072,0
70.2691,0.139531,0
75.4854,0.130516,0
80.8457,0.123714,0
83.538,0.12123,0
85.959,0.118008,0
91.0154,0.113535,0
96.3397,0.115217,0
87.1118,0.123807,0
76.4044,0.134887,0
71.4244,0.148009,0
67.0268,0.154701,0
56.0619,0.154102,1
44.4292,0.143671,1
55.701,0.12315,0
69.3015,0.115857,0
72.1415,0.124165,0
73.8874,0.129985,0
71.5947,0.13148,0
68.8914,0.1293,0
76.6585,0.123513,0
85.4902,0.120965,0
84.4614,0.122352,0
82.43,0.123821,0
81.0515,0.124981,0
79.7394,0.122043,0
87.8704,0.114622,0
96.9614,0.113979,0
89.363,0.121258,0
80.0677,0.12202,0
76.8793,0.114796,0
74.3118,0.116806,0
73.618,0.1298,0
73.1147,0.141306,0
72.8077,0.150056,0
72.5206,0.148593,0
74.3877,0.136159,0
76.4738,0.121901,0
74.9295,0.106751,0
73.0161,0.103434,0
79.0134,0.113242,0
85.815,0.121151,0
82.0558,0.125633,0
77.2228,0.128275,0
75.9226,0.129241,0
74.9816,0.127274,0
80.4861,0.122248,0
86.646,0.120994,0
83.3967,0.124207,0
79.1907,0.125813,0
79.6686,0.125196,0
80.6228,0.131619,0
72.755,0.146022,0
63.9902,0.149186,0
62.1689,0.139157,0
61.0535,0.13258,0
64.8765,0.131147,0
69.2016,0.135827,0
71.1285,0.146722,0
72.8116,0.147566,0
73.8856,0.136708,0
74.8976,0.13817,0
72.9325,0.154392,0
70.6646,0.163242,0
65.6264,0.16247,0
60.3064,0.153333,0
69.0325,0.135957,0
79.1867,0.124223,0
84.3682,0.119543,0
89.0441,0.130094,0
74.5556,0.156707,0
58.1185,0.159371,0
62.7161,0.134018,0
69.4524,0.121152,0
73.1637,0.124889,0
76.5674,0.127314,0
77.9317,0.126606,0
79.0887,0.125035,0
81.5771,0.122833,0
84.2008,0.123429,0
77.3466,0.127174,0
69.5288,0.131933,0
61.6494,0.13749,0
53.7639,0.133931,0
57.3414,0.120249,0
62.0844,0.110166,0
66.0801,0.105077,0
69.9998,0.113714,0
69.7536,0.136965,0
69.0838,0.145233,0
72.1912,0.135508,0
75.6826,0.128923,0
76.855,0.127628,0
77.7916,0.142348,1
70.4562,0.174175,1
62.2797,0.182576,1
65.0719,0.16343,1
68.9795,0.145858,1
74.1645,0.132821,0
79.4794,0.125381,0
75.8355,0.123644,0
71.2808,0.124174,0
73.5051,0.126622,0
76.4187,0.127026,0
79.0763,0.124983,0
81.7078,0.12376,0
81.9162,0.123686,0
81.8781,0.133393,0
70.886,0.153757,0
58.7801,0.153513,0
73.7897,0.129483,0
91.5562,0.117767,0
80.5849,0.122035,0
66.6917,0.126118,0
69.7715,0.128375,0
74.577,0.126831,0
81.2517,0.121285,0
88.1164,0.121193,0
81.8727,0.127518,0
74.2962,0.133813,0
72.3627,0.139425,0
71.0029,0.136714,0
79.1849,0.124903,0
88.3371,0.116166,0
82.1586,0.111742,0
74.4214,0.114773,0
67.8036,0.125576,0
61.2996,0.129062,0
59.5662,0.123698,0
58.3178,0.122313,0
64.5839,0.126213,0
71.614,0.128458,0
74.287,0.128343,0
76.5169,0.127272,0
78.7854,0.125389,0
81.0577,0.122875,0
84.6216,0.119747,0
88.3168,0.1182,0
88.2114,0.118457,0
87.7195,0.119813,0
85.0648,0.122196,0
82.1901,0.125236,0
76.0218,0.128898,0
69.5187,0.124781,0
67.0938,0.112032,0
65.0835,0.106969,0
77.5569,0.111252,0
91.503,0.117387,0
85.0724,0.124614,0
76.57,0.13488,0
67.5117,0.148385,0
58.3969,0.159085,0
63.537,0.166365,0
70.1265,0.164897,0
66.2357,0.15414,0
61.2794,0.140948,0
73.8682,0.126016,0
88.2409,0.127089,0
80.5592,0.145972,0
70.6352,0.149394,0
70.1631,0.133974,0
70.6521,0.125905,0
72.6913,0.127852,0
74.8882,0.134873,0
71.6602,0.146465,0
67.8806,0.146376,0
73.7415,0.132953,0
80.5826,0.126965,0
76.3681,0.130522,0
71.0295,0.127371,0
83.6441,0.115862,0
98.0841,0.114519,0
87.6888,0.125223,0
74.7684,0.138336,0
67.2572,0.152878,0
60.296,0.156318,0
64.6545,0.14738,0
70.164,0.141599,0
67.3705,0.140554,0
63.7328,0.136528,0
71.6723,0.128737,0
80.7889,0.129651,0
77.1453,0.140538,0
72.2042,0.14178,0
75.8818,0.13138,0
80.4358,0.130096,0
77.6213,0.140036,0
74.0576,0.139649,0
80.2149,0.12674,0
87.3606,0.117999,0
72.8288,0.115124,0
56.093,0.115007,0
69.5093,0.117335,0
85.9913,0.120717,0
82.8991,0.125013,0
77.8167,0.126372,0
